OBJECTID,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESP,FREGUESIA,COMPRIMENTO,COMP_KM
147486,0050,Alameda dos Oceanos,Alameda dos Oceanos Norte,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,459.36,0.45935843
147487,0050,Via do Oriente,Alameda dos Oceanos Norte,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,1016.85,1.01685268
147489,0136,Rota da Água,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,682.25,0.68225301
147496,0479,Avenida da República,Rotunda de Entrecampos,Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMU/DEP,Avenidas Novas,10.200000000000001,0.01019964
147497,0099,BTT/Trail 1,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,1629.5,1.62950245
147498,0099,BTT/Trail 1,,Local,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,27.84,0.02783952
147500,0111,Rua Inácio Pardelhas Sanchez,Bairros 30+Bici - Bairro da Serafina/Liberdade,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Campolide,42.44,0.04244268
147507,0008,Avenida Paulo VI,Avenida Paulo VI,Complementar,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Marvila,229.78,0.22977865
147512,0665,Rua Cardeal Mercier,Rua Cardeal Mercier,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2018,CML/DMM,Avenidas Novas,57.870000000000005,0.05787113
147517,0459,Avenida Luís Bivar,Bairros 30+Bici - Bairro de São Sebastião,Local,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2025,CML/DMM; EMEL,Avenidas Novas,320.03000000000003,0.32002926
147518,0073,Avenida Almirante Reis,Avenida Almirante Reis - Fase 2,Principal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Areeiro,30.740000000000002,0.0307429
147522,0657,Estrada das Laranjeiras,UPCB - Requalificação Praça Marechal Humberto Delgado - Sete Rios,Complementar,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,CML/DMU/DEP; CML/DMMC/DIOA,São Domingos de Benfica,203.52,0.20352404000000002
147524,0524,Passeio dos Heróis do Mar,,Local,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,22.3,0.02230037
147530,0685,Avenida Infante Dom Henrique,Avenida Infante Dom Henrique (Terminal de Cruzeiros - Estação de Santa Apolónia),Principal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Santa Maria Maior,160.88,0.16088045
